plot,block,rate,year,pattern,sp_can_weedy,sp_can,steme.n,erpve.n,cervu.n,vioar.n,carhi.n,lamam.n,verar.n,un1.n,un2.n,tarof.n,thistle.n,poaan.n,rye_g,rye_bio,weeds_g,weeds_bio,verar_bio,abuth_bio,lamam_bio,cervu_bio,steme_bio,erpve_bio,tarof_bio,cheal_bio,setfa_bio,prnso_bio,trfre_bio,poatr_bio,unknown_bl_bio,medlu_bio,oxast_bio,vioar_bio,thlar_bio,verpg_bio,cirae_bio,ambel_bio,carhi_bio,peak_counts,AMBEL.N,AMARE.N,SETFA.N,SETPU.N,DIGSA.N,DIGIS.N,VIOAR.N,OXAST.N,CHEAL.N,ERICA.N,SECCE.N,CERVU.N,MEDLU.N,SOPT7.N,VERAR.N,ABUTH.N,TAROF.N,STEME.N,ANGAR.N,TRFPR.N,PLAMA.N,ACCVI.N,CYPES.N,POLPE.N,CRUNU.N,PANDI.N,PRNSO.N,PLALA.N,VERPG.N,THLAR.N,POLCO.N,VICVI.N,POAAN.N,peak_bio,peak_kg,AMBEL_BIO,AMARE_BIO,SETFA_BIO,SETPU_BIO,DIGSA_BIO,DIGIS_BIO,VIOAR_BIO,OXAST_BIO,CHEAL_BIO,ERICA_BIO,SECCE_BIO,CERVU_BIO,MEDLU_BIO,SOPT7_BIO,VERAR_BIO,ABUTH_BIO,TAROF_BIO,STEME_BIO,ANGAR_BIO,TRFPR_BIO,PLAMA_BIO,ACCVI_BIO,CYPES_BIO,POLPE_BIO,CRUNU_BIO,PANDI_BIO,PRNSO_BIO,PLALA_BIO,VERPG_BIO,THLAR_BIO,POLCO_BIO,VICVI_BIO,POAAN_BIO
202,2,168,1,r,0.1151,0.1267,6,11,0,2,0,1,2,0,0,0,0,0,71.3,2852,0.056,2.24,0.056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,9,3,56,0,7,1,5,1,1,4,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.938,998.76,29.2,0.093,14.54,0,0.399,0.065,0.343,0.029,0.026,0.675,4.5,0.068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,2,112,1,r,0.089,0.0914,7,0,0,0,0,0,3,0,0,0,0,0,41.7,1668,0.011,0.44,0,0,0,0,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,7,0,111,7,0,1,5,1,0,1,9,0,0,0,1,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,37.704,754.08,8.6,0,22.777,1.266,0,0.071,0.388,0.134,0,0.048,1.6,0,0,0,0.02,0,0,0,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0
204,2,56,1,r,0.0826,0.0868,3,2,0,0,1,0,0,0,0,0,0,0,46.8,1872,0.167,6.68,0.167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,6,0,132,24,0,0,1,0,0,0,28,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.038,1080.76,17.4,0,25.928,4.4,0,0,0.05,0,0,0,4.1,0,0,0,0.06,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,2,0,1,na,0.0001,0.0019,8,13,0,2,0,0,0,0,0,0,0,0,0,0,4.982,199.28,0.576,0,1.27,0,2.871,0.204,0,0.039,0,0,0,0,0,0,0,0.022,0,0,0,0,0,80,10,0,64,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.856,3517.12,143.7,0,30.46,0,0.061,0,0.59,0.068,0,0,0,0,0.476,0,0,0,0,0.501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,2,56,1,g,0.0787,0.0782,11,1,0,0,0,0,0,0,0,0,0,0,26.8,1072,0.486,19.44,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0.484,0,0,0,0,0,220,18,0,169,2,0,1,2,0,0,1,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,79.431,1588.62,25.1,0,32.94,0.267,0,0.061,0.13,0,0,0.033,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.1,0
207,2,28,1,r,0.1038,0.1103,2,16,0,0,0,1,0,0,0,0,0,0,22.4,896,0.105,4.2,0,0,0,0.012,0.061,0,0,0,0,0,0,0,0,0,0,0,0,0.032,0,0,0,185,6,0,159,13,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,56.043,1120.86,16.3,0,35.3,1.688,0,0,0.064,0,0,0,0,0.048,0,0,0,0,0,0,0,2.643,0,0,0,0,0,0,0,0,0,0,0,0,0
208,2,28,1,g,0.0794,0.0842,8,6,0,0,2,0,0,0,0,0,0,0,49.3,1972,0.03,1.2,0.012,0,0,0,0,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,10,0,85,0,0,0,1,0,0,0,5,1,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,61.466,1229.32,27.8,0,19.531,0,0,0,0.148,0,0,0.664,1.6,0.023,0,0,0,0,0,0,0,11.7,0,0,0,0,0,0,0,0,0,0,0,0,0
209,2,168,1,g,0.092,0.0896,3,0,0,0,0,0,0,0,0,0,0,0,107.6,4304,0.043,1.72,0.032,0,0,0.005,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,9,0,140,0,0,0,1,0,0,0,31,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.889,1237.78,14.3,0,34.4,0,0,0,0.017,0,0,0,13.1,0,0,0,0,0,0,0,0.072,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,3,56,1,g,0.1174,0.1284,5,5,0,0,0,2,0,0,1,1,0,0,59.6,2384,0.053,2.12,0.037,0,0,0,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326,4,0,263,13,13,3,3,4,0,10,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,66.863,1337.26,4.3,0,53.429,3.7,0.604,0.098,0.201,0.071,0,1.061,3.1,0.209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09
302,3,28,1,g,0.161,0.1634,6,8,0,0,0,1,1,1,0,0,0,0,92,3680,0.191,7.64,0,0,0,0.024,0.158,0,0,0,0,0,0,0,0,0,0,0,0.009,0,0,0,0,361,24,0,301,2,0,0,0,3,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.1,1502,19.6,0,44,0.343,0,0,0,0.051,0,0.006,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303,3,112,1,r,0.1522,0.1551,3,0,0,0,0,0,1,0,0,0,0,0,75.7,3028,0.084,3.36,0.022,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0.012,0,0,0,0,0,394,8,0,356,0,0,2,1,2,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.838,1256.76,9.6,0,43.2,0,0,0.062,0.044,0.032,0,0,9.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,3,28,1,r,0.0774,0.0828,5,2,0,0,0,0,0,2,0,0,0,0,74.7,2988,0.317,12.68,0,0,0,0,0.247,0.004,0,0,0,0,0,0,0,0,0,0.018,0.048,0,0,0,0,217,21,0,172,4,2,0,3,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,51.578,1031.56,24.8,0,24.164,0.275,0.217,0,0.136,0.039,0,0.062,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.585
305,3,112,1,g,0.1644,0.1765,4,1,0,0,2,0,0,0,0,0,1,0,56.5,2260,1.244,49.76,0,0,0,0,0.183,0,0,0,0,0,0,0,0,0,0,0,0,0,1.044,0.017,0,235,12,0,181,3,1,8,1,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,60.474,1209.48,7.4,0,20.819,0.576,0.025,0.477,0.062,0.015,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,29.3,0,0,0,0,0,0,0,0
306,3,168,1,g,0.1365,0.1304,1,0,0,0,0,0,0,0,0,0,0,0,113.1,4524,0.141,5.64,0.001,0,0,0.097,0.043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,7,0,366,0,2,0,0,1,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.31,1446.2,7.2,0,52.3,0,0.03,0,0,0.68,0,0,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307,3,168,1,r,0.1751,0.1737,6,2,1,0,0,0,0,0,0,1,0,0,82.9,3316,0.008,0.32,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,10,0,162,2,9,38,1,3,0,4,0,1,0,0,0,0,2,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,64.493,1289.86,21.6,0,36.747,0.579,0.606,3.005,0.086,0.099,0,1.137,0,0.024,0,0,0,0,0.075,0,0,0.535,0,0,0,0,0,0,0,0,0,0,0,0,0
308,3,56,1,r,0.1372,0.1419,8,5,0,0,2,0,0,0,0,0,0,0,53.7,2148,0.359,14.36,0,0,0,0,0.215,0.144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,23,0,170,0,17,0,4,5,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,75.737,1514.74,38.6,0,35.581,0,1.167,0,0.101,0.134,0,0,0,0,0,0,0,0,0,0,0,0.154,0,0,0,0,0,0,0,0,0,0,0,0,0
309,3,0,1,na,0.0002,0.0036,5,0,0,1,1,0,1,0,0,0,0,0,0,0,102.64,1.518,0,0,0.063,0.011,1.518,0.326,0,0.035,0.207,0,0,0,0,0,0,0,0.066,0.107,0,0,0.233,508,20,4,418,32,3,4,0,4,4,0,0,4,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0,0,190.841,3816.82,103.6,0.1,80.3,3.9,0.202,0.239,0,0.095,0.597,0,0,0.212,0,0.04,0.385,0.059,0,0,0,0,0,0,0,0,0,0,0,0,0.144,0.861,0.107,0,0
101,1,28,2,row,0.2711,0.2497,2,16,0,0,0,5,0,0,0,0,0,0,107.6,4304,0.505,20.2,0,0,0.08,0.014,0.352,0.059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,15,0,71,0,2,10,0,3,8,0,9,0,0,0,0,0,18,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,1,112,2,row,0.4568,0.3949,18,20,0,2,0,4,0,0,0,0,0,1,156.4,6256,0.722,28.88,0,0.012,0,0,0.254,0.298,0.028,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,241,4,0,84,10,15,97,0,0,3,0,13,0,0,0,0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,1,112,2,grid,0.3769,0.3654,4,3,0,0,0,0,0,0,0,3,0,0,118.5,4740,1.32,52.8,0.344,0,0,0,0.056,0,0.741,0,0,0,0,0.179,0,0,0,0,0,0,0,0,0,208,23,2,98,21,6,39,0,1,0,0,12,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,1,168,2,grid,0.2578,0.2456,0,0,0,0,1,0,0,0,0,0,0,0,142.2,5688,0.072,2.88,0,0,0,0,0,0,0,0,0,0.072,0,0,0,0,0,0,0,0,0,0,0,141,16,0,91,0,1,0,0,6,1,0,18,0,0,0,0,2,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,1,168,2,row,0.3282,0.3154,1,0,0,0,0,0,0,0,0,0,0,0,142.4,5696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,15,1,84,6,0,0,0,1,1,0,21,0,0,0,0,0,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,1,28,2,grid,0.2625,0.2516,4,0,1,0,0,1,0,0,0,1,0,1,128.6,5144,0.046,1.84,0,0.007,0,0,0,0,0,0,0.039,0,0,0,0,0,0,0,0,0,0,0,0,197,34,1,123,4,0,0,0,0,4,0,25,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,1,56,2,grid,0.174,0.1682,0,0,0,0,0,0,0,0,0,0,0,0,93.1,3724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,17,3,96,2,0,0,0,4,0,0,26,0,0,0,0,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,1,0,2,na,0.0002,0.0001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.139,45.56,0,0,0,0,1,0,0,0,0.117,0,0,0,0,0,0.022,0,0,0,0,0,0,131,29,0,87,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,1,56,2,row,0.246,0.242,1,0,0,0,0,0,0,0,0,0,0,0,136.5,5460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,33,3,36,4,0,0,0,6,2,1,13,0,0,0,0,0,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,2,56,2,grid,0.2097,0.2049,0,0,0,0,0,0,0,0,0,0,0,0,109.6,4384,0.027,1.08,0,0,0,0,0,0,0,0,0,0.027,0,0,0,0,0,0,0,0,0,0,0,290,33,4,142,0,0,0,0,2,0,3,104,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,2,56,2,row,0.1899,0.1894,0,0,0,0,0,0,0,0,0,0,0,0,84.5,3380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,26,0,154,0,0,1,0,1,0,0,61,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,2,168,2,row,0.3105,0.3058,2,0,0,0,0,0,0,0,0,0,0,0,84.7,3388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,12,0,56,0,0,0,0,12,0,0,37,0,0,0,0,5,2,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,2,28,2,row,0.1431,0.1432,0,0,0,0,0,0,0,0,0,0,0,0,133.6,5344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,16,2,50,0,0,0,0,1,0,1,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,2,0,2,na,0.0003,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.35,14,0,0,0,0,0,0.173,0,0,0.17,0,0.007,0,0,0,0,0,0,0,0,0,0,117,29,0,74,0,0,0,0,8,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,2,168,2,grid,0.2902,0.2879,1,0,0,0,0,0,0,0,0,0,0,0,131.5,5260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,22,0,29,0,0,0,0,5,2,0,7,0,0,0,0,1,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,2,28,2,grid,0.1857,0.1844,0,0,0,0,0,0,0,0,0,0,0,0,127.8,5112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,33,1,74,0,0,0,0,1,3,0,50,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,2,112,2,grid,0.2415,0.2385,2,0,0,0,0,0,0,0,0,0,0,0,104,4160,0.01,0.4,0.004,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,50,2,81,2,0,0,0,2,6,0,58,0,0,0,0,2,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,2,112,2,row,0.2695,0.2793,1,0,0,0,0,0,0,0,0,0,0,0,145.1,5804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,33,1,67,0,0,0,0,7,3,0,47,0,0,0,0,1,7,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,3,0,2,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199,7.96,0,0,0,0,0,0,0,0.106,0.093,0,0,0,0,0,0,0,0,0,0,0,0,81,16,0,42,0,0,0,0,1,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,3,56,2,row,0.2417,0.2341,1,0,0,0,0,0,0,0,0,0,0,0,79.8,3192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,18,4,96,0,0,0,0,0,6,0,49,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,3,56,2,grid,0.1674,0.1695,0,0,0,0,1,0,0,0,0,0,0,0,134.1,5364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,24,0,100,0,0,0,0,5,3,0,36,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,3,112,2,row,0.3216,0.3223,1,0,0,0,1,0,0,0,0,0,0,0,133.9,5356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,8,0,73,1,0,0,0,1,0,0,16,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,3,168,2,row,0.3978,0.3884,0,0,0,0,0,0,0,0,0,0,0,0,124.1,4964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,17,7,63,9,0,0,0,0,0,0,14,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,3,28,2,row,0.054,0.0541,0,0,0,0,0,0,0,0,0,0,0,0,63.5,2540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,16,0,80,9,3,8,0,14,16,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,3,28,2,grid,0.2357,0.203,0,0,0,0,1,0,0,0,0,2,0,0,95.6,3824,0.01,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0.003,0,0,0,0,0,0,0,95,13,1,36,21,0,0,0,3,3,0,6,0,0,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
