plot,rate,pattern,treatment,block,rye_seedlings,fall_can_A,fall_can_B,sp_can_A,sp_can_B_weeded,sp_can_B_weedy,sp_can_B_weeds,STEME_B,ERPVE_B,CERVU_B,VIOAR_B,CARHI_B,LAMAM_B,VERAR_B,ROSETTE_B,DISSECTED_B,TAROF_B,THISLE_B,rolled_can,rye_g0.25m,rye_KgHa,STEME_bio,VERAR_bio,VIOAR_bio,CERVU_bio,THLAR_bio,SETFA_bio,ERPVE_bio,VERPG_bio,CIRAE_bio,AMBEL_bio,LAMAM_bio,CHEAL_bio,CARHI_bio,weeds_g0.25m,weeds_KgHa,rye_g0.125m,rye_phen_KgHa,tillers_n,soybean_17.5,soybean_ac
206,56,grid,56g,B2,56,0.0006,0.0012,0.068,0.0787,0.0782,-0.0005,11,1,0,0,0,0,0,0,0,0,0,0.3925,26.8,1072,0.002,0,0.484,0,0,0,0,0,0,0,0,0,0,0.486,19.44,23.6,1888,40,168,168000
207,28,row,28r,B2,31,0.0015,0.013,0.0547,0.1038,0.1103,0.0065,2,16,0,0,0,1,0,0,0,0,0,0.3665,22.4,896,0.061,0,0,0.012,0,0,0,0.032,0,0,0,0,0,0.105,4.2,24.4,1952,44,190,190000
208,28,grid,28g,B2,23,0.004,0.0018,0.1108,0.0794,0.0842,0.0048,8,6,0,0,2,0,0,0,0,0,0,0.3797,49.3,1972,0,0.012,0,0,0,0,0.018,0,0,0,0,0,0,0.03,1.2,22.4,1792,33,180,180000
209,168,grid,168g,B2,172,0.1281,0.005,0.3246,0.092,0.0896,-0.0024,3,0,0,0,0,0,0,0,0,0,0,0.6112,107.6,4304,0.006,0.032,0,0.005,0,0,0,0,0,0,0,0,0,0.043,1.72,33.4,2672,61,179,179000
301,56,grid,56g,B3,78,0.0179,0.01,0.1771,0.1174,0.1284,0.011,5,5,0,0,0,2,0,0,1,1,0,0.5239,59.6,2384,0.016,0.037,0,0,0,0,0,0,0,0,0,0,0,0.053,2.12,22.8,1824,32,195,195000
302,28,grid,28g,B3,38,0.0319,0.0195,0.206,0.161,0.1634,0.0024,6,8,0,0,0,1,1,1,0,0,0,0.5657,92,3680,0.158,0,0,0.024,0.009,0,0,0,0,0,0,0,0,0.191,7.64,33.5,2680,25,176,176000
303,112,row,112r,B3,79,0.0817,0.0696,0.1874,0.1522,0.1551,0.0029,3,0,0,0,0,0,1,0,0,0,0,0.6485,75.7,3028,0.05,0.022,0.012,0,0,0,0,0,0,0,0,0,0,0.084,3.36,28.5,2280,20,182,182000
304,28,row,28r,B3,45,0.0139,0.0002,0.2076,0.0774,0.0828,0.0054,5,2,0,0,0,0,0,2,0,0,0,0.4665,74.7,2988,0.247,0,0.018,0,0.048,0,0.004,0,0,0,0,0,0,0.317,12.68,15.5,1240,27,180,180000
305,112,grid,112g,B3,128,0.0508,0.0276,0.1962,0.1644,0.1765,0.0121,4,1,0,0,2,0,0,0,0,0,1,0.6694,56.5,2260,0.183,0,0,0,0,0,0,0,1.044,0.017,0,0,0,1.244,49.76,15.2,1216,17,173,173000
306,168,grid,168g,B3,152,0.1427,0.0187,0.3436,0.1365,0.1304,-0.0061,1,0,0,0,0,0,0,0,0,0,0,0.5933,113.1,4524,0.043,0.001,0,0.097,0,0,0,0,0,0,0,0,0,0.141,5.64,21.4,1712,23,179,179000
307,168,row,168r,B3,175,0.0229,0.0264,0.2395,0.1751,0.1737,-0.0014,6,2,1,0,0,0,0,0,0,1,0,0.6504,82.9,3316,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0.32,35.1,2808,28,185,185000
308,56,row,56r,B3,82,0.0114,0.0307,0.0964,0.1372,0.1419,0.0047,8,5,0,0,2,0,0,0,0,0,0,0.5744,53.7,2148,0.215,0,0,0,0,0,0.144,0,0,0,0,0,0,0.359,14.36,27.9,2232,42,188,188000
309,0,control,control,B3,0,0.0004,0.0005,0.0005,0.0002,0.0036,0.0034,9,5,0,0,1,1,0,1,0,0,0,0.1183,0,0,1.518,0,0,0.011,0.066,0.207,0.326,0.107,0,0,0.063,0.035,0.233,2.566,102.64,0,0,0,187,187000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
