plot,year,rate,pattern,block,rye.g,rye.bio,can_a,can_b,can_b_weedy,WEED.N,weed.g,AMBEL.RA,AMARE.RA,SETFA.RA,SETPU.RA,DIGSA.RA,DIGIS.RA,VIOAR.RA,OXAST.RA,CHEAL.RA,ERICA.RA,SECCE.RA,CERVU.RA,MEDLU.RA,SOPT7.RA,VERAR.RA,ABUTH.RA,TAROF.RA,STEME.RA,ANGAR.RA,TRFPR.RA,PLAMA.RA,ACCVI.RA,CYPES.RA,POLPE.RA,CRUNU.RA,PANDI.RA,PRNSO.RA,PLALA.RA,VERPG.RA,THLAR.RA,POLCO.RA,VICVI.RA,POAAN.RA,ambel.g.ra,amare.g.ra,setfa.g.ra,setpu.g.ra,digsa.g.ra,digis.g.ra,vioar.g.ra,oxast.g.ra,cheal.g.ra,erica.g.ra,secce.g.ra,cervu.g.ra,medlu.g.ra,sopt7.g.ra,verar.g.ra,abuth.g.ra,tarof.g.ra,steme.g.ra,angar.g.ra,trfre.g.ra,plama.g.ra,accvi.g.ra,cypes.g.ra,polpe.g.ra,crunu.g.ra,pandi.g.ra,prnso.g.ra,plala.g.ra,verpg.g.ra,thlar.g.ra,polco.g.ra,vicvi.g.ra,poaan.g.ra
202,1,168,row,2,71.3,2852,0.1841,0.1151,0.1267,103,49.938,8.737864078,2.912621359,54.36893204,0,6.796116505,0.970873786,4.854368932,0.970873786,0.970873786,3.883495146,14.5631068,0.970873786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.47250591,0.186230926,29.11610397,0,0.798990749,0.1301614,0.686851696,0.058072009,0.05206456,1.351676078,9.011173856,0.136168849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,1,112,row,2,41.7,1668,0.081,0.089,0.0914,161,37.704,4.347826087,0,68.94409938,4.347826087,0,0.621118012,3.105590062,0.621118012,0,0.621118012,5.590062112,0,0,0,0.621118012,0,0,0,0,11.18012422,0,0,0,0,0,0,0,0,0,0,0,0,0,22.80925101,0,60.41003607,3.357733927,0,0.188308933,1.029068534,0.355399958,0,0.127307447,4.243581583,0,0,0,0.05304477,0,0,0,0,7.42626777,0,0,0,0,0,0,0,0,0,0,0,0,0
204,1,56,row,2,46.8,1872,0.0938,0.0826,0.0868,193,54.038,3.10880829,0,68.39378238,12.43523316,0,0,0.518134715,0,0,0,14.50777202,0,0.518134715,0,0,0,0.518134715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.19956327,0,47.98105037,8.142418298,0,0,0.092527481,0,0,0,7.587253414,0,0,0,0.111032977,0,3.886154188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,1,0,na,2,0,0,0.0022,0.0001,0.0019,80,175.856,12.5,0,80,0,1.25,0,3.75,1.25,0,0,0,0,0,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.71458466,0,17.3209899,0,0.034687472,0,0.335501774,0.038668001,0,0,0,0,0.270676008,0,0,0,0,0.284892185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,1,56,grid,2,26.8,1072,0.068,0.0787,0.0782,220,79.431,8.181818182,0,76.81818182,0.909090909,0,0.454545455,0.909090909,0,0,0.454545455,10.90909091,0,0,0,0.454545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.909090909,0,31.59975324,0,41.46995506,0.336140801,0,0.076796213,0.163664061,0,0,0.041545492,11.07879795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.23334718,0
207,1,28,row,2,22.4,896,0.0547,0.1038,0.1103,185,56.043,3.243243243,0,85.94594595,7.027027027,0,0,0.540540541,0,0,0,0,0.540540541,0,0,0,0,0,0,0,2.702702703,0,0,0,0,0,0,0,0,0,0,0,0,0,29.08480988,0,62.987349,3.011972949,0,0,0.114198027,0,0,0,0,0.08564852,0,0,0,0,0,0,0,4.716021626,0,0,0,0,0,0,0,0,0,0,0,0,0
208,1,28,grid,2,49.3,1972,0.1108,0.0794,0.0842,140,61.466,7.142857143,0,60.71428571,0,0,0,0.714285714,0,0,0,3.571428571,0.714285714,0,0,0,0,0,0,0,27.14285714,0,0,0,0,0,0,0,0,0,0,0,0,0,45.22825627,0,31.7752904,0,0,0,0.240783523,0,0,1.08027202,2.603065109,0.037419061,0,0,0,0,0,0,0,19.03491361,0,0,0,0,0,0,0,0,0,0,0,0,0
209,1,168,grid,2,107.6,4304,0.3246,0.092,0.0896,182,61.889,4.945054945,0,76.92307692,0,0,0,0.549450549,0,0,0,17.03296703,0,0,0,0,0,0,0,0.549450549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.10588311,0,55.58338315,0,0,0,0.027468532,0,0,0,21.16692789,0,0,0,0,0,0,0,0.116337314,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,1,56,grid,3,59.6,2384,0.1771,0.1174,0.1284,326,66.863,1.226993865,0,80.67484663,3.987730061,3.987730061,0.920245399,0.920245399,1.226993865,0,3.067484663,2.760736196,0.920245399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.306748466,6.431060527,0,79.90817044,5.533703244,0.903339665,0.146568356,0.30061469,0.106187278,0,1.586826795,4.636345961,0.312579454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134603592
302,1,28,grid,3,92,3680,0.206,0.161,0.1634,361,75.1,6.648199446,0,83.37950139,0.55401662,0,0,0,0.831024931,0,0.27700831,8.310249307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.09853529,0,58.5885486,0.456724368,0,0,0,0.067909454,0,0.007989348,14.78029294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303,1,112,row,3,75.7,3028,0.1874,0.1522,0.1551,394,62.838,2.030456853,0,90.35532995,0,0,0.507614213,0.253807107,0.507614213,0,0,6.345177665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.27737993,0,68.74820968,0,0,0.098666412,0.070021325,0.0509246,0,0,15.75479805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,1,28,row,3,74.7,2988,0.2076,0.0774,0.0828,217,51.578,9.677419355,0,79.26267281,1.843317972,0.921658986,0,1.382488479,0.460829493,0,0.921658986,1.843317972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.686635945,48.0825158,0,46.84943193,0.533173058,0.420722013,0,0.263678312,0.075613634,0,0.12020629,2.520454457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.134204506
305,1,112,grid,3,56.5,2260,0.1962,0.1644,0.1765,235,60.474,5.106382979,0,77.0212766,1.276595745,0.425531915,3.404255319,0.425531915,0.425531915,0,0,5.106382979,0,0,0,0,0,0,0,0,0,0,0,0,0,6.808510638,0,0,0,0,0,0,0,0,12.23666369,0,34.42636505,0.952475444,0.04134008,0.788768727,0.102523398,0.024804048,0,0,2.976485762,0,0,0,0,0,0,0,0,0,0,0,0,0,48.4505738,0,0,0,0,0,0,0,0
306,1,168,grid,3,113.1,4524,0.3436,0.1365,0.1304,432,72.31,1.62037037,0,84.72222222,0,0.462962963,0,0,0.231481481,0,0,12.96296296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.957129028,0,72.32747891,0,0.041488038,0,0,0.940395519,0,0,16.73350851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307,1,168,row,3,82.9,3316,0.2395,0.1751,0.1737,248,64.493,4.032258065,0,65.32258065,0.806451613,3.629032258,15.32258065,0.403225806,1.209677419,0,1.612903226,0,0.403225806,0,0,0,0,0.806451613,0,0,6.451612903,0,0,0,0,0,0,0,0,0,0,0,0,0,33.49200688,0,56.97827671,0.897771851,0.93963686,4.659420402,0.133347805,0.153505032,0,1.762982029,0,0.037213341,0,0,0,0,0.116291691,0,0,0.829547393,0,0,0,0,0,0,0,0,0,0,0,0,0
308,1,56,row,3,53.7,2148,0.0964,0.1372,0.1419,228,75.737,10.0877193,0,74.56140351,0,7.456140351,0,1.754385965,2.192982456,0,0,0,0,0,0,0,0,0,0,0,3.947368421,0,0,0,0,0,0,0,0,0,0,0,0,0,50.96584232,0,46.97967968,0,1.540858497,0,0.13335622,0.176928054,0,0,0,0,0,0,0,0,0,0,0,0.203335226,0,0,0,0,0,0,0,0,0,0,0,0,0
309,1,0,na,3,0,0,0.0005,0.0002,0.0036,508,190.841,3.937007874,0.787401575,82.28346457,6.299212598,0.590551181,0.787401575,0,0.787401575,0.787401575,0,0,0.787401575,0,0.196850394,0.590551181,0.393700787,0,0,0,0,0,0,0,0,0,0,0,0,0.196850394,1.377952756,0.196850394,0,0,54.28602868,0.052399642,42.07691219,2.043586022,0.105847276,0.125235143,0,0.04977966,0.31282586,0,0,0.11108724,0,0.020959857,0.20173862,0.030915789,0,0,0,0,0,0,0,0,0,0,0,0,0.075455484,0.451160914,0.056067616,0,0
101,2,28,row,1,107.6,4304,0.1936,0.2497,0.2711,138,55.908,10.86956522,0,51.44927536,0,1.449275362,7.246376812,0,2.173913043,5.797101449,0,6.52173913,0,0,0,0,0,13.04347826,0.724637681,0,0,0,0,0,0,0,0,0.724637681,0,0,0,0,0,0,57.41575445,0,28.79730987,0,0.579523503,3.577305573,0,0.624239823,1.609787508,0,6.79688059,0,0,0,0,0,0.552693711,0,0,0,0,0,0,0,0,0,0.046504972,0,0,0,0,0,0
102,2,112,row,1,156.4,6256,0.3818,0.3949,0.4568,241,35.841,1.659751037,0,34.85477178,4.149377593,6.22406639,40.24896266,0,0,1.244813278,0,5.394190871,0,0,0,0,0,1.244813278,0,0,4.979253112,0,0,0,0,0,0,0,0,0,0,0,0,0,17.29862448,0,43.2465612,3.906141012,2.51109065,15.90357412,0,0,0.203677353,0,13.67149354,0,0,0,0,0,2.790100723,0.055802014,0,0.412934907,0,0,0,0,0,0,0,0,0,0,0,0,0
103,2,112,grid,1,118.5,4740,0.2818,0.3654,0.3769,208,30.562,11.05769231,0.961538462,47.11538462,10.09615385,2.884615385,18.75,0,0.480769231,0,0,5.769230769,0,0,0,0,0,1.442307692,0,0,0,0,0,0.480769231,0,0,0,0,0,0,0,0,0,0.961538462,46.79013154,0.15051371,32.06596427,7.198481775,1.007787448,5.11092206,0,0.078528892,0,0,4.580852038,0,0,0,0,0,2.617629736,0,0,0,0,0,0.320659643,0,0,0,0,0,0,0,0,0,0.078528892
104,2,168,grid,1,142.2,5688,0.2728,0.2456,0.2578,141,35.692,11.34751773,0,64.53900709,0,0.709219858,0,0,4.255319149,0.709219858,0,12.76595745,0,0,0,0,1.418439716,3.546099291,0,0,0,0,0.709219858,0,0,0,0,0,0,0,0,0,0,0,66.4014345,0,23.25451081,0,0.240950353,0,0,0.806903508,0.451081475,0,8.685419702,0,0,0,0,0.025215735,0.134483918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,2,168,row,1,142.4,5696,0.2909,0.3154,0.3282,142,38.154,10.56338028,0.704225352,59.15492958,4.225352113,0,0,0,0.704225352,0.704225352,0,14.78873239,0,0,0,0,0,4.225352113,0,0,0,0,0,4.929577465,0,0,0,0,0,0,0,0,0,0,59.49572784,0.015725743,26.73376317,1.543743775,0,0,0,0.086491587,0.005241914,0,7.862871521,0,0,0,0,0,0.041935315,0.283063375,0,0,0,0,3.93143576,0,0,0,0,0,0,0,0,0,0
106,2,28,grid,1,128.6,5144,0.236,0.2516,0.2625,197,92.969,17.25888325,0.507614213,62.43654822,2.030456853,0,0,0,0,2.030456853,0,12.69035533,0,0,0,0,1.52284264,0,0,1.52284264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.183018,0.012907528,23.3411137,0.430250944,0,0,0,0,0.117243382,0,10.54114812,0,0,0,0,0.276436231,0,0,0.09788209,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,2,56,grid,1,93.1,3724,0.1734,0.1682,0.174,155,66.248,10.96774194,1.935483871,61.93548387,1.290322581,0,0,0,2.580645161,0,0,16.77419355,0,0,0,0,1.290322581,0.64516129,0,2.580645161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.62468301,0.280763193,19.17039005,0,0,0.152457433,0,0.244535684,0,0,12.2267842,0,0,0,0,0.282272672,0.018113754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,2,0,na,1,0,0,0.0001,0.0001,0.0002,131,223.133,22.13740458,0,66.41221374,0,0,0,0,3.053435115,1.526717557,0.763358779,0,0,0,0,0,0,0,0,0,0,0,0,6.106870229,0,0,0,0,0,0,0,0,0,0,80.62456024,0,12.63820233,0,0,0,0,0.048401626,6.274284844,0.01120408,0,0,0,0,0,0,0,0,0,0,0,0,0.403346883,0,0,0,0,0,0,0,0,0,0
109,2,56,row,1,136.5,5460,0.2967,0.242,0.246,116,52.275,28.44827586,2.586206897,31.03448276,3.448275862,0,0,0,5.172413793,1.724137931,0.862068966,11.20689655,0,0,0,0,0,14.65517241,0,0,0,0,0,0.862068966,0,0,0,0,0,0,0,0,0,0,75.94452415,0.256336681,15.68627451,0.617886179,0,0,0,0.369201339,0.31372549,0.109038737,5.356288857,0,0,0,0,0,0.675274988,0,0,0,0,0,0.671449067,0,0,0,0,0,0,0,0,0,0
201,2,56,grid,2,109.6,4384,0.2151,0.2049,0.2097,290,71.293,11.37931034,1.379310345,48.96551724,0,0,0,0,0.689655172,0,1.034482759,35.86206897,0,0,0,0,0,0.344827586,0,0,0,0,0,0,0,0,0,0,0,0,0,0.344827586,0,0,49.65424375,0.049093179,14.44742121,0,0,0,0,0.089770384,0,0.064522464,34.54055798,0,0,0,0,0,0.032261232,0,0,0,0,0,0,0,0,0,0,0,0,0,1.122129802,0,0
202,2,56,row,2,84.5,3380,0.1927,0.1894,0.1899,247,72.839,10.52631579,0,62.34817814,0,0,0.4048583,0,0.4048583,0,0,24.69635628,0,0,0,0,0.809716599,0.4048583,0,0,0,0,0,0.4048583,0,0,0,0,0,0,0,0,0,0,52.03256497,0,21.41709798,0,0,0.085119236,0,0.06178009,0,0,25.81034885,0,0,0,0,0.262222161,0.013728909,0,0,0,0,0,0.317137797,0,0,0,0,0,0,0,0,0,0
203,2,168,row,2,84.7,3388,0.2298,0.3058,0.3105,128,34.129,9.375,0,43.75,0,0,0,0,9.375,0,0,28.90625,0,0,0,0,3.90625,1.5625,0,0,0,0,0,0.78125,0,0,0,1.5625,0.78125,0,0,0,0,0,45.41592194,0,21.38943421,0,0,0,0,0.858507428,0,0,28.71458291,0,0,0,0,2.637053532,0.120132439,0,0,0,0,0,0.219754461,0,0,0,0.430718744,0.213894342,0,0,0,0,0
204,2,28,row,2,133.6,5344,0.2369,0.1432,0.1431,101,52.582,15.84158416,1.98019802,49.5049505,0,0,0,0,0.99009901,0,0.99009901,29.7029703,0,0,0,0,0.99009901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.63675783,0.165455859,31.37955955,0,0,0,0,0.083678825,0,0.406983378,18.25719828,0,0,0,0,0.070366285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,2,0,na,2,0,0,0.0003,0,0.0003,117,187.744,24.78632479,0,63.24786325,0,0,0,0,6.837606838,2.564102564,1.709401709,0,0,0,0,0,0,0,0,0,0,0,0,0.854700855,0,0,0,0,0,0,0,0,0,0,91.56084882,0,7.61675473,0,0,0,0,0.327573717,0.426112153,0.022903528,0,0,0,0,0,0,0,0,0,0,0,0,0.045807056,0,0,0,0,0,0,0,0,0,0
206,2,168,grid,2,131.5,5260,0.3,0.2879,0.2902,73,35.873,30.1369863,0,39.7260274,0,0,0,0,6.849315068,2.739726027,0,9.589041096,0,0,0,0,1.369863014,6.849315068,0,2.739726027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.85844507,0,9.199119115,0,0,0,0,0.437655061,0.164469099,0,2.230089482,0,0,0,0,0.802832214,1.014690714,0,0.292699245,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,2,28,grid,2,127.8,5112,0.2974,0.1844,0.1857,163,137.502,20.24539877,0.613496933,45.39877301,0,0,0,0,0.613496933,1.840490798,0,30.67484663,0,0,0,0,0,0.613496933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.41708484,0.02036334,10.39984873,0,0,0,0,0.002181786,0.064726331,0,14.03615947,0,0,0,0,0,0.059635496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,2,112,grid,2,104,4160,0.3104,0.2385,0.2415,213,68.152,23.4741784,0.938967136,38.02816901,0.938967136,0,0,0,0.938967136,2.816901408,0,27.23004695,0,0,0,0,0.938967136,0.938967136,0,0,3.755868545,0,0,0,0,0,0,0,0,0,0,0,0,0,70.87099425,0.046953868,8.950581054,0.221563564,0,0,0,0.023476934,0.225965489,0,18.63481629,0,0,0,0,0.074832727,0.019075009,0,0,0.931740815,0,0,0,0,0,0,0,0,0,0,0,0,0
209,2,112,row,2,145.1,5804,0.3294,0.2793,0.2695,168,59.988,19.64285714,0.595238095,39.88095238,0,0,0,0,4.166666667,1.785714286,0,27.97619048,0,0,0,0,0.595238095,4.166666667,0,0,0.595238095,0,0,0,0,0,0,0.595238095,0,0,0,0,0,0,65.84650263,0.005001,18.83710075,0,0,0,0,0.193372008,0.141695006,0,14.16950057,0,0,0,0,0.133360005,0.26171901,0,0,0.105021004,0,0,0,0,0,0,0.306728012,0,0,0,0,0,0
301,2,0,na,3,0,0,0,0,0,81,333.805,19.75308642,0,51.85185185,0,0,0,0,1.234567901,25.92592593,0,0,0,0,0,0,0,1.234567901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.1275595,0,3.205464268,0,0,0,0,0.017075838,52.63552074,0,0,0,0,0,0,0,0.014379653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,2,56,row,3,79.8,3192,0.1693,0.2341,0.2417,178,51.614,10.11235955,2.247191011,53.93258427,0,0,0,0,0,3.370786517,0,27.52808989,0,0,0,0,0,2.247191011,0,0,0.561797753,0,0,0,0,0,0,0,0,0,0,0,0,0,52.1176425,0.201495718,24.21823536,0,0,0,0,0,0.428178401,0,22.08703065,0,0,0,0,0,0.172433836,0,0,0.774983532,0,0,0,0,0,0,0,0,0,0,0,0,0
303,2,56,grid,3,134.1,5364,0.2165,0.1695,0.1674,172,68.933,13.95348837,0,58.13953488,0,0,0,0,2.906976744,1.744186047,0,20.93023256,0,0,0,0,0.581395349,1.744186047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.94420669,0,24.22642276,0,0,0,0,0.213250548,0.150871136,0,13.20122438,0,0,0,0,0.042069836,0.221954652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,2,112,row,3,133.9,5356,0.3272,0.3223,0.3216,106,30.852,7.547169811,0,68.86792453,0.943396226,0,0,0,0.943396226,0,0,15.09433962,0,0,0,0,0,6.603773585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.08142098,0,29.49565668,0.346817062,0,0,0,0.469985738,0,0,11.66861144,0,0,0,0,0,13.9375081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,2,168,row,3,124.1,4964,0.3742,0.3884,0.3978,116,33.274,14.65517241,6.034482759,54.31034483,7.75862069,0,0,0,0,0,0,12.06896552,0,0,0,0,0.862068966,4.310344828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.32517882,0.180320971,19.53477189,3.005349522,0,0,0,0,0,0,6.611768949,0,0,0,0,0.018032097,0.324577748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,2,28,row,3,63.5,2540,0.0997,0.0541,0.054,156,59.904,10.25641026,0,51.28205128,5.769230769,1.923076923,5.128205128,0,8.974358974,10.25641026,0,0,0,0,0,0,0,4.487179487,0,0,0,0,0,1.923076923,0,0,0,0,0,0,0,0,0,0,52.75106838,0,18.36271368,2.50400641,0.156917735,0.479099893,0,0.834668803,1.335470085,0,0,0,0,0,0,0,23.3707265,0,0,0,0,0,0.205328526,0,0,0,0,0,0,0,0,0,0
307,2,28,grid,3,95.6,3824,0.2163,0.203,0.2357,95,35.673,13.68421053,1.052631579,37.89473684,22.10526316,0,0,0,3.157894737,3.157894737,0,6.315789474,0,0,0,0,0,11.57894737,0,0,1.052631579,0,0,0,0,0,0,0,0,0,0,0,0,0,70.36133771,0.042048608,10.93263813,9.250693802,0,0,0,0.428895804,0.863398088,0,6.167129201,0,0,0,0,0,1.393210551,0,0,0.560648109,0,0,0,0,0,0,0,0,0,0,0,0,0
308,2,168,grid,3,113.3,4532,0.3361,0.2492,0.2667,61,32.484,26.2295082,0,31.14754098,13.1147541,0,0,0,1.639344262,0,0,6.557377049,0,0,0,0,0,19.67213115,0,0,0,0,0,1.639344262,0,0,0,0,0,0,0,0,0,0,70.4962443,0,13.54512991,2.139514838,0,0,0,0.243196651,0,0,2.154907031,0,0,0,0,0,10.77453516,0,0,0,0,0,0.646472109,0,0,0,0,0,0,0,0,0,0
309,2,112,grid,3,70.8,2832,0.211,0.1536,0.1625,115,24.71,7.826086957,0,48.69565217,4.347826087,0,6.956521739,0,0,0,0,4.347826087,0,0,0,0,1.739130435,26.08695652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.82719547,0,23.87697289,0.930797248,0,0.995548361,0,0,0,0,4.046944557,0,0,0,0,0.513961959,32.78025091,0,0,0,0,0.028328612,0,0,0,0,0,0,0,0,0,0,0
