plot,rate,pattern,block,stage,diameter,height,who,year
204,28,Row,2,63,4.27,148.59,Noelle,2023
101,28,Row,1,59,4.27,161.29,Noelle,2023
106,28,Grid,1,61,4.27,148.59,Noelle,2023
109,56,Row,1,59,4.27,148.59,Noelle,2023
109,56,Row,1,67,4.27,167.64,Noelle,2023
204,28,Row,2,65,4.25,142.24,Noelle,2023
109,56,Row,1,65,4.25,158.75,Noelle,2023
204,28,Row,2,63,4.24,160.02,Noelle,2023
201,56,Grid,2,65,4.23,162.56,Laurel,2023
302,56,Row,3,63,4.22,146.05,Noelle,2023
302,56,Row,3,65,4.21,170.18,Noelle,2023
303,56,Grid,3,65,4.21,162.56,Noelle,2023
101,28,Row,1,59,4.21,134.62,Noelle,2023
106,28,Grid,1,61,4.21,157.48,Noelle,2023
202,56,Row,2,59,4.19,160.02,Laurel,2023
106,28,Grid,1,59,4.19,142.24,Noelle,2023
106,28,Grid,1,61,4.19,162.56,Noelle,2023
307,28,Grid,3,59,4.18,144.78,Noelle,2023
202,56,Row,2,61,4.18,158.75,Laurel,2023
204,28,Row,2,59,4.18,133.35,Noelle,2023
101,28,Row,1,63,4.18,149.86,Noelle,2023
106,28,Grid,1,59,4.18,144.78,Noelle,2023
302,28,Grid,3,67,4.17,139.70,Laurel,2022
201,56,Grid,2,65,4.17,172.72,Laurel,2023
204,28,Row,2,61,4.17,138.43,Noelle,2023
107,56,Grid,1,61,4.17,171.45,Laurel,2023
107,56,Grid,1,65,4.17,139.70,Laurel,2022
203,168,Row,2,63,4.14,153.67,Noelle,2023
204,28,Row,2,63,4.14,124.46,Noelle,2023
207,28,Grid,2,63,4.14,156.21,Noelle,2023
107,56,Grid,1,65,4.13,142.20,Laurel,2022
202,56,Row,2,65,4.12,167.64,Laurel,2023
302,56,Row,3,63,4.11,165.10,Noelle,2023
303,56,Grid,3,63,4.11,158.75,Noelle,2023
202,56,Row,2,65,4.11,167.64,Laurel,2023
206,168,Grid,2,71,4.11,139.70,Noelle,2023
201,56,Grid,2,67,4.1,177.80,Laurel,2023
204,28,Row,2,61,4.1,133.35,Noelle,2023
307,28,Grid,3,59,4.09,115.57,Noelle,2023
101,28,Row,1,61,4.09,151.13,Noelle,2023
109,56,Row,1,64,4.09,162.56,Noelle,2023
101,112,Row,1,67,4.09,129.50,Laurel,2022
101,112,Row,1,65,4.09,142.20,Laurel,2022
106,28,Grid,1,59,4.08,139.70,Noelle,2023
109,56,Row,1,59,4.08,157.48,Noelle,2023
201,56,Grid,2,67,4.07,167.64,Laurel,2023
302,28,Grid,3,67,4.06,154.90,Laurel,2022
106,28,Grid,1,63,4.06,147.32,Noelle,2023
204,28,Row,2,65,4.05,146.05,Noelle,2023
303,56,Grid,3,67,4.04,129.54,Noelle,2023
106,28,Grid,1,59,4.04,149.86,Noelle,2023
206,168,Grid,2,67,4.03,152.40,Noelle,2023
109,56,Row,1,65,4.03,171.45,Noelle,2023
308,56,Row,3,69,4.02,139.70,Laurel,2022
106,28,Grid,1,63,4.02,142.24,Noelle,2023
109,56,Row,1,63,4.02,154.94,Noelle,2023
109,56,Row,1,67,4.02,162.56,Noelle,2023
307,28,Grid,3,59,4.01,144.78,Noelle,2023
106,28,Grid,1,61,4.01,146.05,Noelle,2023
307,28,Grid,3,59,4,133.35,Noelle,2023
307,28,Grid,3,61,4,149.86,Noelle,2023
101,28,Row,1,61,4,154.94,Noelle,2023
102,112,Row,1,71,4,142.24,Noelle,2023
102,112,Row,1,69,4,153.67,Noelle,2023
107,56,Grid,1,65,4,146.05,Laurel,2023
207,28,Grid,2,63,3.99,160.02,Noelle,2023
101,112,Row,1,67,3.99,144.80,Laurel,2022
208,28,Grid,2,65,3.98,119.40,Laurel,2022
302,56,Row,3,67,3.98,154.94,Noelle,2023
107,56,Grid,1,63,3.98,124.50,Laurel,2022
307,28,Grid,3,59,3.96,130.81,Noelle,2023
302,56,Row,3,63,3.95,144.78,Noelle,2023
303,56,Grid,3,63,3.95,165.10,Noelle,2023
201,56,Grid,2,61,3.95,152.40,Laurel,2023
201,56,Grid,2,65,3.95,160.02,Laurel,2023
206,168,Grid,2,65,3.95,152.40,Noelle,2023
105,168,Row,1,71,3.95,157.48,Noelle,2023
302,56,Row,3,65,3.94,154.94,Noelle,2023
304,112,Row,3,67,3.94,170.18,Laurel,2023
106,28,Grid,1,43,3.94,68.58,Noelle,2023
201,56,Grid,2,65,3.93,170.18,Laurel,2023
202,56,Row,2,59,3.93,152.40,Laurel,2023
208,112,Grid,2,69,3.93,161.29,Laurel,2023
303,56,Grid,3,67,3.92,154.94,Noelle,2023
204,28,Row,2,59,3.92,134.62,Noelle,2023
303,56,Grid,3,61,3.91,144.78,Noelle,2023
307,28,Grid,3,59,3.91,137.16,Noelle,2023
302,56,Row,3,63,3.9,130.81,Noelle,2023
302,56,Row,3,63,3.9,160.02,Noelle,2023
303,56,Grid,3,67,3.9,149.86,Noelle,2023
306,28,Row,3,59,3.9,144.78,Laurel,2023
107,56,Grid,1,61,3.9,160.02,Laurel,2023
302,56,Row,3,65,3.89,142.24,Noelle,2023
306,28,Row,3,61,3.89,137.16,Laurel,2023
201,56,Grid,2,65,3.89,165.10,Laurel,2023
207,28,Row,2,63,3.88,116.80,Laurel,2022
302,56,Row,3,65,3.88,147.32,Noelle,2023
204,28,Row,2,63,3.88,132.08,Noelle,2023
207,28,Grid,2,61,3.88,130.81,Noelle,2023
102,28,Row,1,67,3.88,132.10,Laurel,2022
307,28,Grid,3,59,3.87,119.38,Noelle,2023
307,28,Grid,3,59,3.87,129.54,Noelle,2023
204,28,Row,2,63,3.87,162.56,Noelle,2023
101,28,Row,1,59,3.87,154.94,Noelle,2023
306,28,Row,3,61,3.86,149.86,Laurel,2023
307,28,Grid,3,59,3.86,132.08,Noelle,2023
207,28,Grid,2,61,3.86,133.35,Noelle,2023
207,28,Grid,2,61,3.86,143.51,Noelle,2023
101,112,Row,1,30,3.86,139.70,Laurel,2022
206,56,Grid,2,63,3.85,127.00,Laurel,2022
307,28,Grid,3,59,3.85,118.11,Noelle,2023
307,28,Grid,3,59,3.85,144.78,Noelle,2023
202,56,Row,2,67,3.85,170.18,Laurel,2023
101,28,Row,1,59,3.85,137.16,Noelle,2023
109,56,Row,1,64,3.85,176.53,Noelle,2023
303,56,Grid,3,61,3.84,144.78,Noelle,2023
306,28,Row,3,61,3.84,153.67,Laurel,2023
101,28,Row,1,59,3.84,140.97,Noelle,2023
101,28,Row,1,63,3.84,154.94,Noelle,2023
105,168,Row,1,65,3.84,154.94,Noelle,2023
101,112,Row,1,67,3.84,142.20,Laurel,2022
209,112,Row,2,69,3.83,142.24,Noelle,2023
106,28,Grid,1,61,3.83,153.67,Noelle,2023
107,56,Grid,1,67,3.83,134.60,Laurel,2022
208,28,Grid,2,61,3.82,106.70,Laurel,2022
302,56,Row,3,65,3.82,166.37,Noelle,2023
303,56,Grid,3,63,3.82,149.86,Noelle,2023
302,28,Grid,3,69,3.82,121.90,Laurel,2022
203,168,Row,2,67,3.8,139.70,Noelle,2023
207,28,Grid,2,65,3.8,143.51,Noelle,2023
104,56,Row,1,65,3.8,139.70,Laurel,2022
207,28,Grid,2,63,3.79,157.48,Noelle,2023
102,112,Row,1,63,3.79,81.28,Noelle,2023
202,56,Row,2,59,3.78,162.56,Laurel,2023
207,28,Grid,2,61,3.78,144.78,Noelle,2023
209,112,Row,2,67,3.78,154.94,Noelle,2023
101,28,Row,1,61,3.78,160.02,Noelle,2023
104,168,Grid,1,65,3.78,135.89,Noelle,2023
104,168,Grid,1,65,3.78,157.48,Noelle,2023
306,28,Row,3,61,3.77,140.97,Laurel,2023
207,28,Grid,2,61,3.77,149.86,Noelle,2023
101,112,Row,1,67,3.77,134.60,Laurel,2022
307,28,Grid,3,59,3.76,139.70,Noelle,2023
201,56,Grid,2,67,3.76,148.59,Laurel,2023
201,56,Grid,2,71,3.75,163.83,Laurel,2023
204,28,Row,2,63,3.75,132.08,Noelle,2023
104,168,Grid,1,67,3.75,134.62,Noelle,2023
105,168,Row,1,71,3.75,147.32,Noelle,2023
102,28,Row,1,67,3.75,137.20,Laurel,2022
104,56,Row,1,65,3.75,134.60,Laurel,2022
202,56,Row,2,67,3.74,172.72,Laurel,2023
207,28,Grid,2,63,3.74,147.32,Noelle,2023
101,28,Row,1,61,3.74,139.70,Noelle,2023
102,112,Row,1,69,3.74,137.16,Noelle,2023
104,168,Grid,1,71,3.74,130.81,Noelle,2023
209,112,Row,2,65,3.73,154.94,Noelle,2023
204,28,Row,2,67,3.72,134.62,Noelle,2023
101,28,Row,1,63,3.72,132.08,Noelle,2023
101,28,Row,1,63,3.72,157.48,Noelle,2023
307,28,Grid,3,59,3.71,129.54,Noelle,2023
201,56,Grid,2,61,3.71,154.94,Laurel,2023
307,28,Grid,3,63,3.7,129.54,Noelle,2023
202,56,Row,2,67,3.7,171.45,Laurel,2023
104,56,Row,1,65,3.7,121.90,Laurel,2022
104,56,Row,1,61,3.7,132.10,Laurel,2022
107,56,Grid,1,61,3.7,127.00,Laurel,2022
303,56,Grid,3,63,3.69,142.24,Noelle,2023
303,56,Grid,3,61,3.69,144.78,Noelle,2023
302,28,Grid,3,67,3.69,134.60,Laurel,2022
203,168,Row,2,65,3.69,142.24,Noelle,2023
204,28,Row,2,61,3.69,123.19,Noelle,2023
101,28,Row,1,59,3.69,132.08,Noelle,2023
207,28,Row,2,65,3.68,116.80,Laurel,2022
203,168,Row,2,69,3.67,148.59,Noelle,2023
204,28,Row,2,63,3.67,127.00,Noelle,2023
207,28,Row,2,63,3.66,116.80,Laurel,2022
307,28,Grid,3,59,3.66,127.00,Noelle,2023
206,168,Grid,2,65,3.66,135.89,Noelle,2023
104,168,Grid,1,67,3.66,137.16,Noelle,2023
106,28,Grid,1,59,3.66,137.16,Noelle,2023
207,28,Row,2,63,3.65,124.50,Laurel,2022
307,28,Grid,3,59,3.65,128.27,Noelle,2023
204,28,Row,2,63,3.65,130.81,Noelle,2023
206,168,Grid,2,59,3.65,104.14,Noelle,2023
107,56,Grid,1,59,3.65,138.43,Laurel,2023
303,56,Grid,3,63,3.64,154.94,Noelle,2023
307,28,Grid,3,59,3.64,140.97,Noelle,2023
201,56,Grid,2,63,3.64,152.40,Laurel,2023
106,28,Grid,1,63,3.64,142.24,Noelle,2023
303,56,Grid,3,59,3.63,127.00,Noelle,2023
303,56,Grid,3,63,3.63,139.70,Noelle,2023
207,28,Grid,2,63,3.63,137.16,Noelle,2023
303,56,Grid,3,67,3.62,167.64,Noelle,2023
204,28,Row,2,65,3.62,147.32,Noelle,2023
107,56,Grid,1,65,3.62,170.18,Laurel,2023
106,28,Grid,1,69,3.61,107.95,Noelle,2023
109,56,Row,1,na,3.61,93.98,Noelle,2023
109,56,Row,1,67,3.61,168.91,Noelle,2023
306,168,Grid,3,69,3.6,134.60,Cody,2022
201,56,Grid,2,69,3.6,154.94,Laurel,2023
102,112,Row,1,67,3.6,149.86,Noelle,2023
206,56,Grid,2,63,3.59,111.80,Laurel,2022
306,28,Row,3,65,3.59,153.67,Laurel,2023
301,56,Grid,3,65,3.59,127.00,Laurel,2022
202,56,Row,2,61,3.59,149.86,Laurel,2023
204,28,Row,2,67,3.59,137.16,Noelle,2023
101,28,Row,1,59,3.59,116.84,Noelle,2023
103,112,Grid,1,71,3.59,166.37,Laurel,2023
201,56,Grid,2,65,3.58,165.10,Laurel,2023
209,112,Row,2,63,3.58,132.08,Noelle,2023
103,112,Grid,1,67,3.58,154.94,Laurel,2023
206,56,Grid,2,63,3.57,132.10,Laurel,2022
302,56,Row,3,65,3.57,149.86,Noelle,2023
303,56,Grid,3,63,3.57,160.02,Noelle,2023
207,28,Grid,2,63,3.57,135.89,Noelle,2023
102,28,Row,1,63,3.57,129.50,Laurel,2022
102,28,Row,1,67,3.57,147.30,Laurel,2022
206,56,Grid,2,67,3.56,111.80,Laurel,2022
303,112,Row,3,69,3.56,124.50,Laurel,2022
201,56,Grid,2,69,3.56,144.78,Laurel,2023
201,56,Grid,2,63,3.55,154.94,Laurel,2023
206,56,Grid,2,67,3.54,134.60,Laurel,2022
309,112,Grid,3,71,3.54,127.00,Noelle,2023
304,28,Row,3,61,3.54,121.90,Laurel,2022
102,112,Row,1,67,3.54,149.86,Noelle,2023
107,56,Grid,1,61,3.54,132.10,Laurel,2022
102,112,Row,1,67,3.53,143.51,Noelle,2023
108,28,Grid,1,69,3.53,129.50,Laurel,2022
302,28,Grid,3,63,3.52,121.90,Laurel,2022
302,56,Row,3,65,3.51,157.48,Noelle,2023
303,56,Grid,3,65,3.51,152.40,Noelle,2023
201,56,Grid,2,65,3.51,148.59,Laurel,2023
106,28,Grid,1,59,3.51,73.66,Noelle,2023
107,56,Grid,1,63,3.51,139.70,Laurel,2022
302,56,Row,3,65,3.5,139.70,Noelle,2023
302,56,Row,3,69,3.5,144.78,Noelle,2023
207,28,Grid,2,59,3.5,127.00,Noelle,2023
209,112,Row,2,65,3.5,149.86,Noelle,2023
107,56,Grid,1,65,3.5,144.78,Laurel,2023
303,56,Grid,3,65,3.49,152.40,Noelle,2023
306,28,Row,3,61,3.49,152.40,Laurel,2023
202,56,Row,2,67,3.49,149.86,Laurel,2023
207,28,Grid,2,59,3.49,134.62,Noelle,2023
101,28,Row,1,59,3.49,111.76,Noelle,2023
101,112,Row,1,69,3.49,137.20,Laurel,2022
302,56,Row,3,63,3.48,129.54,Noelle,2023
203,168,Row,2,67,3.48,160.02,Noelle,2023
204,28,Row,2,63,3.48,139.70,Noelle,2023
105,168,Row,1,71,3.48,147.32,Noelle,2023
109,56,Row,1,61,3.48,152.40,Noelle,2023
109,56,Row,1,65,3.47,157.48,Noelle,2023
306,28,Row,3,61,3.46,134.62,Laurel,2023
202,56,Row,2,65,3.46,144.78,Laurel,2023
207,28,Grid,2,61,3.46,132.08,Noelle,2023
104,56,Row,1,61,3.46,94.00,Laurel,2022
306,28,Row,3,61,3.45,144.78,Laurel,2023
302,28,Grid,3,63,3.45,124.50,Laurel,2022
102,112,Row,1,67,3.45,138.43,Noelle,2023
105,168,Row,1,69,3.45,139.70,Noelle,2023
106,28,Grid,1,61,3.45,148.59,Noelle,2023
107,56,Grid,1,67,3.45,157.48,Laurel,2023
109,56,Row,1,65,3.45,147.32,Noelle,2023
301,56,Grid,3,63,3.44,124.50,Laurel,2022
204,28,Row,2,65,3.44,125.73,Noelle,2023
102,112,Row,1,67,3.44,160.02,Noelle,2023
307,28,Grid,3,59,3.43,114.30,Noelle,2023
203,168,Row,2,69,3.43,170.18,Noelle,2023
208,112,Grid,2,67,3.43,160.02,Laurel,2023
208,28,Grid,2,61,3.42,104.10,Laurel,2022
303,56,Grid,3,61,3.42,119.38,Noelle,2023
307,28,Grid,3,59,3.42,116.84,Noelle,2023
201,56,Grid,2,67,3.42,111.76,Laurel,2023
202,56,Row,2,63,3.42,154.94,Laurel,2023
208,112,Grid,2,69,3.42,152.40,Laurel,2023
108,28,Grid,1,61,3.42,129.50,Laurel,2022
302,28,Grid,3,61,3.41,124.50,Laurel,2022
102,112,Row,1,71,3.41,147.32,Noelle,2023
204,28,Row,2,63,3.4,109.22,Noelle,2023
204,28,Row,2,65,3.4,137.16,Noelle,2023
209,112,Row,2,67,3.4,149.86,Noelle,2023
102,112,Row,1,69,3.4,144.78,Noelle,2023
107,56,Grid,1,69,3.4,119.40,Laurel,2022
303,56,Grid,3,67,3.39,152.40,Noelle,2023
309,112,Grid,3,69,3.39,124.46,Noelle,2023
207,28,Grid,2,59,3.39,147.32,Noelle,2023
107,56,Grid,1,65,3.39,165.10,Laurel,2023
109,56,Row,1,64,3.39,149.86,Noelle,2023
108,28,Grid,1,67,3.39,129.50,Laurel,2022
307,28,Grid,3,59,3.38,125.73,Noelle,2023
201,56,Grid,2,69,3.38,160.02,Laurel,2023
204,28,Row,2,59,3.38,124.46,Noelle,2023
104,168,Grid,1,71,3.38,149.86,Noelle,2023
105,168,Row,1,65,3.38,151.13,Noelle,2023
106,28,Grid,1,37,3.38,33.02,Noelle,2023
108,28,Grid,1,63,3.38,132.10,Laurel,2022
302,56,Row,3,71,3.37,144.78,Noelle,2023
303,56,Grid,3,65,3.37,144.78,Noelle,2023
302,56,Row,3,69,3.36,144.78,Noelle,2023
201,56,Grid,2,67,3.36,149.86,Laurel,2023
204,28,Row,2,63,3.36,127.00,Noelle,2023
109,56,Row,1,65,3.36,149.86,Noelle,2023
103,112,Grid,1,65,3.36,121.90,Laurel,2022
103,112,Grid,1,65,3.36,127.00,Laurel,2022
303,56,Grid,3,63,3.35,142.24,Noelle,2023
304,28,Row,3,61,3.35,124.50,Laurel,2022
202,56,Row,2,67,3.35,146.05,Laurel,2023
107,56,Grid,1,63,3.35,129.50,Laurel,2022
304,112,Row,3,67,3.34,139.70,Laurel,2023
302,28,Grid,3,67,3.34,111.80,Laurel,2022
201,56,Grid,2,59,3.34,129.54,Laurel,2023
102,112,Row,1,69,3.34,137.16,Noelle,2023
103,112,Grid,1,61,3.34,148.59,Laurel,2023
102,28,Row,1,65,3.34,127.00,Laurel,2022
108,28,Grid,1,65,3.34,129.50,Laurel,2022
303,56,Grid,3,65,3.33,142.24,Noelle,2023
303,56,Grid,3,65,3.33,154.94,Noelle,2023
202,56,Row,2,65,3.33,147.32,Laurel,2023
106,28,Grid,1,63,3.33,134.62,Noelle,2023
107,56,Grid,1,65,3.33,165.10,Laurel,2023
208,112,Grid,2,71,3.32,137.16,Laurel,2023
206,56,Grid,2,61,3.31,129.50,Laurel,2022
304,112,Row,3,67,3.31,162.56,Laurel,2023
302,28,Grid,3,61,3.31,129.50,Laurel,2022
207,28,Grid,2,59,3.31,123.19,Noelle,2023
101,112,Row,1,71,3.31,132.10,Laurel,2022
304,28,Row,3,61,3.3,116.80,Laurel,2022
207,28,Grid,2,59,3.3,100.33,Noelle,2023
103,112,Grid,1,69,3.3,104.14,Laurel,2023
109,56,Row,1,65,3.3,142.24,Noelle,2023
107,56,Grid,1,61,3.3,121.90,Laurel,2022
201,56,Grid,2,63,3.29,149.86,Laurel,2023
206,168,Grid,2,71,3.29,130.81,Noelle,2023
207,28,Grid,2,61,3.29,127.00,Noelle,2023
109,56,Row,1,43,3.29,66.04,Noelle,2023
109,56,Row,1,67,3.29,157.48,Noelle,2023
204,56,Row,2,69,3.28,124.50,Laurel,2022
302,28,Grid,3,69,3.28,127.00,Laurel,2022
102,112,Row,1,69,3.28,157.48,Noelle,2023
109,56,Row,1,64,3.28,163.83,Noelle,2023
104,56,Row,1,65,3.28,124.50,Laurel,2022
303,56,Grid,3,65,3.27,147.32,Noelle,2023
201,56,Grid,2,67,3.27,167.64,Laurel,2023
207,28,Grid,2,63,3.27,151.13,Noelle,2023
104,168,Grid,1,71,3.27,142.24,Noelle,2023
108,28,Grid,1,69,3.27,114.30,Laurel,2022
108,28,Grid,1,67,3.27,132.10,Laurel,2022
302,56,Row,3,65,3.26,165.10,Noelle,2023
201,56,Grid,2,59,3.26,135.89,Laurel,2023
107,56,Grid,1,61,3.26,144.78,Laurel,2023
101,112,Row,1,67,3.26,134.60,Laurel,2022
307,28,Grid,3,59,3.25,86.36,Noelle,2023
307,28,Grid,3,59,3.25,118.11,Noelle,2023
201,56,Grid,2,67,3.25,151.13,Laurel,2023
206,168,Grid,2,71,3.25,142.24,Noelle,2023
102,112,Row,1,67,3.25,137.16,Noelle,2023
107,56,Grid,1,65,3.25,157.48,Laurel,2023
102,112,Row,1,71,3.24,140.97,Noelle,2023
102,28,Row,1,67,3.24,119.40,Laurel,2022
302,56,Row,3,65,3.23,147.32,Noelle,2023
201,56,Grid,2,69,3.23,154.94,Laurel,2023
104,168,Grid,1,63,3.23,137.16,Noelle,2023
101,112,Row,1,67,3.23,132.10,Laurel,2022
307,28,Grid,3,59,3.22,123.19,Noelle,2023
202,56,Row,2,61,3.22,138.43,Laurel,2023
107,56,Grid,1,67,3.22,148.59,Laurel,2023
302,56,Row,3,65,3.21,149.86,Noelle,2023
304,112,Row,3,71,3.21,147.32,Laurel,2023
201,56,Grid,2,65,3.21,143.51,Laurel,2023
201,56,Grid,2,61,3.21,149.86,Laurel,2023
207,28,Row,2,65,3.2,116.80,Laurel,2022
304,112,Row,3,71,3.2,140.97,Laurel,2023
304,112,Row,3,71,3.2,143.51,Laurel,2023
304,112,Row,3,71,3.2,165.10,Laurel,2023
301,56,Grid,3,63,3.2,127.00,Laurel,2022
207,28,Grid,2,63,3.2,125.73,Noelle,2023
208,112,Grid,2,67,3.2,157.48,Laurel,2023
101,112,Row,1,65,3.2,129.50,Laurel,2022
108,28,Grid,1,65,3.2,132.10,Laurel,2022
206,56,Grid,2,63,3.19,114.30,Laurel,2022
303,56,Grid,3,61,3.19,138.43,Noelle,2023
303,56,Grid,3,67,3.19,139.70,Noelle,2023
307,28,Grid,3,59,3.19,107.95,Noelle,2023
209,112,Row,2,69,3.19,149.86,Noelle,2023
106,28,Grid,1,59,3.19,83.82,Noelle,2023
306,28,Row,3,59,3.18,123.19,Laurel,2023
308,56,Row,3,63,3.18,134.60,Laurel,2022
209,112,Row,2,71,3.18,144.78,Noelle,2023
107,56,Grid,1,61,3.18,162.56,Laurel,2023
102,28,Row,1,61,3.18,116.80,Laurel,2022
