plot,year,rate,pattern,block,rye_bio,verar_bio,abuth_bio,lamam_bio,cervu_bio,steme_bio,erpve_bio,tarof_bio,cheal_bio,setfa_bio,prnso_bio,trfre_bio,poatr_bio,unknown_bl_bio,medlu_bio,oxast_bio,vioar_bio,thlar_bio,verpg_bio,cirae_bio,ambel_bio,carhi_bio,weed_bio_tot,rye_kg,weed_kg
309,2022,0,na,3,0,0,0,0.063,0.011,1.518,0.326,0,0.035,0.207,0,0,0,0,0,0,0,0.066,0.107,0,0,0.233,2.566,0,102.64
101,2023,28,row,1,107.6,0,0,0.08,0.014,0.352,0.059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.505,4304,20.2
102,2023,112,row,1,156.4,0,0.012,0,0,0.254,0.298,0.028,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0.722,6256,28.88
103,2023,112,grid,1,118.5,0.344,0,0,0,0.056,0,0.741,0,0,0,0,0.179,0,0,0,0,0,0,0,0,0,1.32,4740,52.8
104,2023,168,grid,1,142.2,0,0,0,0,0,0,0,0,0,0.072,0,0,0,0,0,0,0,0,0,0,0,0.072,5688,2.88
105,2023,168,row,1,142.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5696,0
106,2023,28,grid,1,128.6,0,0.007,0,0,0,0,0,0,0.039,0,0,0,0,0,0,0,0,0,0,0,0,0.046,5144,1.84
107,2023,56,grid,1,93.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3724,0
108,2023,0,na,1,0,0,0,0,0,1,0,0,0,0.117,0,0,0,0,0,0.022,0,0,0,0,0,0,1.139,0,45.56
109,2023,56,row,1,136.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5460,0
201,2023,56,grid,2,109.6,0,0,0,0,0,0,0,0,0,0.027,0,0,0,0,0,0,0,0,0,0,0,0.027,4384,1.08
202,2023,56,row,2,84.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3380,0
203,2023,168,row,2,84.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3388,0
204,2023,28,row,2,133.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5344,0
205,2023,0,na,2,0,0,0,0,0,0,0.173,0,0,0.17,0,0.007,0,0,0,0,0,0,0,0,0,0,0.35,0,14
206,2023,168,grid,2,131.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5260,0
207,2023,28,grid,2,127.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5112,0
208,2023,112,grid,2,104,0.004,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,4160,0.4
209,2023,112,row,2,145.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5804,0
301,2023,0,na,3,0,0,0,0,0,0,0,0,0.106,0.093,0,0,0,0,0,0,0,0,0,0,0,0,0.199,0,7.96
302,2023,56,row,3,79.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3192,0
303,2023,56,grid,3,134.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5364,0
304,2023,112,row,3,133.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5356,0
305,2023,168,row,3,124.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4964,0
306,2023,28,row,3,63.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2540,0
307,2023,28,grid,3,95.6,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0.003,0,0,0,0,0,0,0,0.01,3824,0.4
308,2023,168,grid,3,113.3,0,0,0,0,0.314,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.594,4532,23.76
309,2023,112,grid,3,70.8,0.49,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.49,2832,99.6
